invoice_id,amount,batch_timestamp,currency,description,discountable,id,invoice_item_id,line_item_parent_id,line_item_parent_type,period_end,period_start,plan_id,price_id,proration,proration_details_credited_items_invoice,proration_details_credited_items_invoice_line_items,quantity,quantity_decimal,source_id,source_type,subscription,subscription_item_id,total_discount,total_exclusive_tax
,2500,2026-06-02 08:11:03,usd,Card payment processing,False,il_lcgnJsxGfdaTPZ,ii_htc44oinJ3QpQQ,lip_vHfjGAbsvkgj3z,default,2026-03-28 21:15:03,2026-04-02 22:18:03,plan_c7yshtz7rvyfqQ,price_4iAFP5rKoBbmM1,True,standard,standard,10,default,src_KhR86D1zvgp7Uv,invoice_item,standard,si_UFlX6QWpbSeT4X,4089,3515
,500,2026-06-09 06:30:03,gbp,Monthly subscription,True,il_PXmbKEDqnfpMiV,ii_JJOXQAvjUOve7f,lip_CravRb5aFjoenK,primary,2026-04-03 22:19:03,2026-06-02 09:03:03,plan_c7yshtz7rvyfqQ,price_RpQKUfMRbbL8Gf,False,standard,primary,1,default,src_NlzP3lx7aG2yD6,subscription,standard,si_bSPZTddnInrTae,2172,1217
,7500,2026-04-01 12:11:03,usd,Onboarding,True,il_zgnV2MTz8Rbu75,ii_ywtm5L1RmhSF03,lip_lZMCC3omVwmv1D,primary,2026-05-07 18:33:03,2026-06-22 00:58:03,plan_gaH1AyiMRlXSqW,price_ZYzOpBEtJrcFd4,False,,default,8,,src_YgmSQW5hRuy4On,subscription,default,si_enjXEc1XX7kYQK,2888,3067
,2500,2026-01-26 07:41:03,jpy,Onboarding,True,il_rT9F7MnfkDiL4U,ii_3QheZ7kFAE1vKR,lip_I33eRHXS6BkU1T,,2026-04-17 23:19:03,2026-06-14 09:14:03,plan_gaH1AyiMRlXSqW,price_uSmWuWJ0LH39hD,False,standard,standard,12,primary,src_NlzP3lx7aG2yD6,invoice_item,standard,si_UFlX6QWpbSeT4X,4565,953
,24900,2026-04-13 22:31:03,usd,Card payment processing,False,il_NXwuyqDsifeMAG,ii_htc44oinJ3QpQQ,lip_IC0G0wZ3wFXJWH,,2026-04-14 20:14:03,2026-01-30 13:39:03,plan_gaH1AyiMRlXSqW,price_D9qQ6PlFQBHPIq,False,standard,,7,,src_w7GxEy6D0GSczn,subscription,standard,si_6srnJvhYXwSMJG,1688,2429
,500,2026-03-16 06:23:03,usd,Card payment processing,False,il_q1YEp3qhebN5zW,ii_ywtm5L1RmhSF03,lip_RrEIoEM39QvtBE,standard,2026-04-11 14:24:03,2026-04-06 23:17:03,plan_gaH1AyiMRlXSqW,price_RpQKUfMRbbL8Gf,True,standard,primary,11,default,src_YgmSQW5hRuy4On,subscription,,si_bSPZTddnInrTae,2824,4850
,1999,2026-03-16 20:44:03,usd,Seat overage,True,il_lrRdRXFDlUDfFo,ii_3QheZ7kFAE1vKR,lip_5eqpIjhaViZ7K3,primary,2026-04-20 23:08:03,2026-03-19 04:00:03,plan_006ISRBFtSh6kp,price_ZYzOpBEtJrcFd4,False,primary,standard,6,default,src_w7GxEy6D0GSczn,invoice_item,standard,si_6srnJvhYXwSMJG,780,1610
,500,2026-06-05 12:37:03,gbp,Card payment processing,True,il_SCponiYKCqGJ6V,ii_ywtm5L1RmhSF03,lip_hmJrS1mm4vG7Yk,standard,2026-03-28 10:39:03,2026-02-07 10:14:03,plan_sZYOc2qrXLVSNw,price_ZYzOpBEtJrcFd4,False,,primary,12,primary,src_NlzP3lx7aG2yD6,invoice_item,default,si_enjXEc1XX7kYQK,10,77
,7500,2026-01-12 13:50:03,usd,Card payment processing,False,il_5BLqF9nW54CBEO,ii_JJOXQAvjUOve7f,lip_13Txcl9hRoeUPk,primary,2026-02-15 22:14:03,2026-01-28 06:44:03,plan_sZYOc2qrXLVSNw,price_DS6rapCD5kPt8Y,False,standard,,6,default,src_w7GxEy6D0GSczn,invoice_item,default,si_bSPZTddnInrTae,860,4415
,24900,2026-04-22 05:20:03,usd,Onboarding,True,il_jkfvkWJhvQOarJ,ii_3QheZ7kFAE1vKR,lip_sWZQ7xRlMpcU4k,standard,2026-02-13 01:32:03,2026-01-29 15:03:03,plan_c7yshtz7rvyfqQ,price_uSmWuWJ0LH39hD,False,default,standard,9,default,src_KhR86D1zvgp7Uv,invoice_item,,si_UFlX6QWpbSeT4X,3146,736
