id,amount,amount_capturable,amount_details_discount_amount,amount_details_shipping_amount,amount_details_shipping_from_postal_code,amount_details_shipping_to_postal_code,amount_details_surcharge_amount,amount_details_tax_total_tax_amount,amount_details_tip_amount,application_fee_amount,application_id,batch_timestamp,canceled_at,cancellation_reason,capture_method,card_request_three_d_secure,confirmation_method,created,currency,customer_id,description,invoice_id,last_payment_error_charge,last_payment_error_source,last_payment_error_type,managed_payments_enabled,on_behalf_of_id,payment_details_customer_reference,payment_details_order_reference,payment_method_id,payment_method_types,presentment_amount,presentment_currency,receipt_email,review_id,setup_future_usage,statement_descriptor,statement_descriptor_suffix,status
pi_oKGbJej3c0vivo,1999,1999,0,4200,7500,999,1999,190,24900,304,a_TRWdgl2YDaO8Gq,2026-05-05 09:19:03,2026-04-26 04:50:03,,automatic,standard,primary,2026-02-02 19:54:03,usd,cus_tSvGgWJmSAmckl,Onboarding,in_xM2fVgGX17vAcj,,standard,standard,True,obo_0pH6OcSlrfomDb,standard,standard,pm_MlyQvENZiAalRO,primary,24900,gbp,standard,r_Jey5Xxfg84bYny,,BLUEHARBOR,default,requires_confirmation
pi_ZBWHWeNn3nTxOY,4200,1500,120,10000,999,500,1999,87,999,120,a_cpreXJkSLv2Y7G,2026-05-15 12:18:03,2026-02-15 02:41:03,default,automatic_async,standard,default,2026-02-19 04:56:03,jpy,cus_U0iLEN32Xh8Tch,Monthly subscription,in_Kgq68zNiZqLGJY,primary,,,True,obo_YUHchzQACrxzDN,,standard,pm_rRHUv6GOVkRdac,,7500,jpy,primary,r_IPj0VOO6tBxlrP,standard,BLUEHARBOR,default,requires_action
pi_RgI9WL5zsCN73R,1999,7500,304,7500,2500,1500,500,190,1500,59,a_339muWzZ0T6OZy,2026-06-05 17:18:03,2026-03-24 02:58:03,primary,automatic,standard,default,2026-06-20 17:45:03,gbp,cus_gmhPGcRCyAK6G6,Seat overage,in_2w1fEi8qhu3Z6p,standard,standard,standard,False,obo_vBGE0JTdarB2Mm,standard,default,pm_MlyQvENZiAalRO,standard,500,usd,primary,r_xfZEch81XNH3mu,,BLUEHARBOR,primary,succeeded
pi_8Y9NJ6n2ezC7ZC,1999,4200,450,24900,999,4200,1999,59,999,304,a_auomK7jkdtWp0h,2026-02-08 12:55:03,2026-02-15 09:20:03,default,automatic,,primary,2026-04-09 18:19:03,jpy,cus_U0iLEN32Xh8Tch,Card payment processing,in_xM2fVgGX17vAcj,,,default,True,obo_9PZh6eocssEnca,,primary,pm_MlyQvENZiAalRO,standard,1999,usd,default,r_qCWNOYyug7jxhO,primary,BLUEHARBOR,,processing
pi_p3nSrFpBk4m83W,24900,1999,87,1500,500,10000,2500,87,10000,304,a_BrjnifRuuBFFkq,2026-03-26 17:12:03,2026-03-06 10:51:03,default,manual,,default,2026-03-09 23:41:03,usd,cus_gmhPGcRCyAK6G6,Seat overage,in_OWFATMkjCy3PzP,primary,standard,,True,obo_H8pbUiRKpkMvWd,standard,,pm_MlyQvENZiAalRO,,7500,usd,default,r_HmgDN0n4Z44kMl,primary,NORTHWIND,primary,succeeded
pi_ECAIXwG7Ygtfzg,7500,2500,0,24900,7500,500,4200,59,2500,0,a_aYc1R6L47Ci0vi,2026-02-08 12:29:03,2026-04-30 08:07:03,,automatic,primary,standard,2026-03-29 16:43:03,usd,cus_tSvGgWJmSAmckl,Onboarding,in_Jqpr5mbmGHupdo,primary,primary,primary,True,obo_9ovFeVVxFpUetJ,primary,primary,pm_rRHUv6GOVkRdac,default,7500,usd,standard,r_B5w6rvqe0OhfOn,primary,BLUEHARBOR,default,succeeded
pi_sLwtwRIBDX7ALC,1500,1999,59,4200,1999,999,999,450,999,120,a_YKb9CgsvrDsjRI,2026-01-30 17:31:03,2026-05-06 02:06:03,primary,manual,primary,,2026-01-13 14:47:03,usd,cus_iM4B95gzSDuxgW,Onboarding,in_2w1fEi8qhu3Z6p,default,standard,primary,False,obo_gPCfIf6BCqq4Eg,,default,pm_MlyQvENZiAalRO,standard,500,usd,default,r_S7ZUkfa668ArRD,primary,NORTHWIND,standard,requires_payment_method
pi_t96HTNONjLekp2,1999,24900,304,4200,999,7500,24900,87,10000,87,a_LquBz4a20jncjH,2026-05-04 04:39:03,2026-03-23 00:11:03,primary,manual,standard,standard,2026-02-12 20:38:03,eur,cus_B2Pw3IUiT2EGSu,Onboarding,in_Jqpr5mbmGHupdo,,,,True,obo_gNqvBel4x0Gezr,primary,primary,pm_MlyQvENZiAalRO,default,500,gbp,default,r_EyhgHjgPJv6Zgc,primary,NORTHWIND,default,requires_confirmation
pi_BH2QiY5zVyiWTD,1999,1999,304,24900,1500,2500,7500,120,4200,190,a_ca4gYVzBlXDDYY,2026-06-08 15:52:03,2026-03-08 18:31:03,primary,automatic_async,standard,default,2026-05-04 23:52:03,jpy,cus_4p4MC5T7GCiC1u,Onboarding,in_tIoBTMotzoQUAx,primary,,default,True,obo_dy5dcAPhFFzE7P,default,default,pm_MlyQvENZiAalRO,standard,1500,usd,default,r_6I5zmHILkfHRBC,default,NORTHWIND,default,requires_capture
pi_lZZWPUbIgQBpjp,1999,24900,450,24900,999,7500,2500,0,24900,304,a_zmspslKJcT2GEZ,2026-04-11 20:19:03,2026-02-12 14:51:03,default,automatic_async,default,,2026-06-16 15:32:03,eur,cus_B2Pw3IUiT2EGSu,Card payment processing,in_tIoBTMotzoQUAx,,,primary,False,obo_XA5J391fAvmCaH,,default,pm_YOReBNpL38dSuN,standard,999,usd,,r_arUIQKzchGinYf,primary,NORTHWIND,,requires_payment_method
